UF,Sexo,Idade,Cor,Anos de Estudo,Renda
11,0,41,8,5,1440
11,0,38,8,5,850
11,1,36,2,16,9000
11,0,32,8,15,7800
11,0,45,8,5,1200
11,1,26,2,11,1500
11,1,28,2,12,3000
11,0,29,8,6,400
11,1,30,8,7,550
11,1,36,8,12,1200
11,0,25,8,12,1500
11,0,26,8,6,1100
11,1,44,8,6,900
11,1,19,2,12,2300
11,0,34,6,16,8000
11,0,36,8,13,1400
11,1,36,8,16,5000
11,0,39,2,3,2500
11,0,32,8,12,1490
11,0,57,8,3,2300
11,1,28,2,5,430
11,0,28,2,9,400
11,1,36,8,12,300
11,0,46,8,10,160
11,0,49,2,16,900
11,0,39,8,4,688
11,0,49,2,9,400
11,0,55,2,3,1000
11,0,60,8,9,0
11,0,55,8,9,8000
11,1,22,2,16,805
11,0,42,8,12,6000
11,0,35,2,16,2000
11,0,38,8,12,850
11,0,29,2,16,5200
11,0,66,4,2,789
11,0,48,2,1,2000
11,0,34,8,16,5000
11,1,49,8,12,400
11,0,49,2,9,1800
11,0,62,2,12,4000
11,0,28,4,12,1000
11,1,32,8,6,200
11,0,41,2,1,250
11,0,52,8,3,800
11,0,43,8,12,1600
11,0,39,2,8,800
11,0,37,8,6,1600
11,0,67,8,1,1000
11,0,54,2,5,2500
11,0,77,8,1,250
11,0,64,8,4,1000
11,0,58,2,1,10000
11,0,57,8,3,1200
11,0,43,8,13,1200
11,0,64,8,5,3000
11,0,52,2,7,1200
11,0,52,8,1,2500
11,1,26,8,15,1000
11,0,41,2,12,2700
11,0,24,8,16,1300
11,1,31,8,6,500
11,1,29,2,14,1000
11,0,41,8,5,1500
11,0,44,8,6,1900
11,1,38,2,7,1300
11,1,62,8,10,300
11,0,59,2,1,788
11,1,60,2,3,788
11,0,48,2,5,2500
11,0,56,2,2,788
11,1,32,2,9,1020
11,1,43,8,1,600
11,1,26,8,12,1920
11,0,57,4,5,1500
11,0,39,8,1,788
11,0,45,2,12,1000
11,0,51,8,2,2500
11,0,34,2,12,789
11,1,40,4,7,830
11,1,36,2,12,1000
11,0,55,8,7,1800
11,0,49,2,8,2300
11,0,39,8,12,800
11,1,39,8,6,788
11,1,38,4,16,1200
11,1,17,2,11,230
11,0,51,2,16,2364
11,1,56,2,7,500
11,1,45,8,1,1800
11,0,57,2,3,3650
11,0,69,2,1,850
11,1,38,8,5,0
11,0,31,2,9,2000
11,0,54,8,1,1500
11,0,41,2,5,700
11,0,43,2,4,750
11,0,40,2,5,800
11,0,39,8,1,1200
11,0,42,2,4,1400
11,0,58,8,1,750
11,1,23,8,9,300
11,1,43,8,10,788
11,0,38,8,6,400
11,0,38,2,16,400
11,1,38,4,6,788
11,0,37,8,1,788
11,1,59,8,4,1500
11,0,50,8,7,1500
11,0,31,2,16,3000
11,0,44,8,12,1400
11,0,27,8,12,1000
11,1,36,8,12,800
11,0,37,8,7,800
11,0,49,8,12,700
11,0,55,8,8,900
11,0,37,4,9,788
11,1,52,8,12,788
11,1,38,8,1,400
11,1,66,8,16,2000
11,0,63,2,12,3000
11,1,31,8,15,300
11,1,49,8,12,1300
11,0,46,2,6,1200
11,0,45,8,8,1500
11,1,33,4,10,200
11,0,58,4,8,1600
11,0,54,8,3,1200
11,0,72,8,1,1500
11,0,70,8,1,400
11,0,50,8,6,350
11,0,64,2,5,2400
11,0,61,8,5,0
11,0,53,8,1,788
11,0,38,8,6,800
11,0,72,8,1,0
11,0,22,2,8,1100
11,0,50,2,13,2500
11,0,49,8,2,0
11,0,41,2,16,2000
11,0,31,2,14,3000
11,0,44,2,16,5000
11,0,41,2,16,3500
11,0,42,8,9,3500
11,0,18,8,10,800
11,0,41,4,5,800
11,1,23,8,14,850
11,0,37,8,9,850
11,1,47,2,17,788
11,0,19,8,9,1500
11,0,35,8,9,1000
11,0,33,8,12,1200
11,1,34,8,10,800
11,0,36,8,6,2000
11,1,38,2,8,1000
11,1,33,8,16,2000
11,0,58,8,1,800
11,1,46,8,9,788
11,0,56,8,4,1300
11,0,34,8,12,2500
11,0,28,8,6,1000
11,0,27,8,12,3500
11,0,28,8,4,800
11,0,22,2,9,788
11,0,44,4,9,1500
11,0,32,8,9,1600
11,0,36,8,8,1700
11,0,39,8,7,2000
11,0,45,8,16,1000
11,1,39,4,9,100
11,1,21,2,9,788
11,0,26,8,12,1400
11,0,44,8,16,1200
11,0,40,8,5,1500
11,0,57,2,5,1300
11,0,40,4,8,600
11,0,41,8,6,900
11,0,44,2,4,1200
11,0,40,8,5,2000
11,0,44,8,12,900
11,0,51,8,1,2000
11,0,35,8,4,900
11,0,22,8,1,788
11,0,44,8,4,900
11,0,31,8,9,1500
11,0,22,8,12,788
11,0,61,2,16,10000
11,1,26,8,10,788
11,0,56,8,12,2800
11,0,53,8,9,788
11,0,37,8,1,788
11,0,24,2,11,2000
11,1,34,2,12,789
11,0,25,8,14,1500
11,1,40,2,14,2800
11,0,63,8,9,3000
11,0,36,8,12,1200
11,1,32,8,13,2000
11,0,50,2,9,1000
11,0,47,8,7,2500
11,1,45,8,16,1150
11,0,36,2,5,2000
11,0,46,2,9,5000
11,0,47,2,12,3000
11,0,56,2,16,8000
11,0,46,8,6,1200
11,0,47,8,12,2500
11,0,52,8,9,10000
11,1,23,8,7,788
11,0,38,4,12,2400
11,0,52,2,9,3000
11,0,29,8,16,1900
11,0,40,8,16,7500
11,0,58,8,12,3310
11,0,28,8,5,900
11,0,52,8,1,800
11,0,38,8,6,3500
11,0,22,8,12,1000
11,0,49,2,5,8500
11,1,59,8,5,250
11,0,42,2,2,950
11,0,40,8,4,1300
11,0,20,8,9,1500
11,1,58,8,16,2000
11,0,51,8,12,7000
11,0,62,8,12,6000
11,0,36,2,12,3400
11,1,46,2,12,788
11,0,54,8,12,1200
11,1,51,8,12,780
11,0,37,2,12,788
11,0,22,8,11,2000
11,0,21,8,7,1400
11,0,47,8,16,1800
11,1,38,8,6,900
11,0,69,2,1,1182
11,0,68,8,1,600
11,0,57,8,16,4200
11,1,36,4,12,788
11,1,47,8,13,150
11,0,59,2,13,4000
11,0,53,8,16,7000
11,1,46,2,16,1700
11,1,59,2,9,80
11,0,44,8,12,800
11,0,29,8,12,1000
11,1,50,8,6,2000
11,1,54,4,5,788
11,1,47,8,5,870
11,0,33,8,7,1200
11,0,63,8,1,200
11,1,37,8,11,1100
11,0,61,4,5,1000
11,0,42,2,9,2000
11,1,34,8,10,200
11,0,37,4,16,4300
11,0,39,2,12,2000
11,0,36,8,4,1200
11,0,56,8,2,1070
11,0,59,2,6,1000
11,0,46,2,9,800
11,0,48,2,16,5000
11,0,59,8,1,350
11,0,20,8,8,500
11,0,41,8,10,500
11,0,61,2,1,1100
11,0,27,2,12,1200
11,1,50,8,4,788
11,0,74,2,3,1000
11,1,59,8,9,400
11,0,36,8,4,788
11,0,57,4,5,150
11,0,34,2,9,3000
11,0,40,8,12,1300
11,0,52,8,5,200
11,0,29,8,11,788
11,1,59,4,2,250
11,0,43,8,12,1000
11,0,43,8,6,788
11,1,39,8,9,788
11,0,38,2,12,2000
11,1,27,4,1,600
11,0,36,2,12,600
11,0,56,8,8,4500
11,0,34,4,12,1000
11,0,61,8,3,788
11,0,32,2,9,1400
11,1,53,2,6,500
11,0,59,4,12,0
11,0,57,8,8,350
11,0,38,8,12,920
11,1,35,2,16,2400
11,1,40,2,6,800
11,0,34,8,5,4800
11,0,31,8,12,3000
11,0,34,2,9,1200
11,0,34,8,11,1500
11,0,22,2,8,2500
11,0,64,2,12,1500
11,0,53,2,16,1500
11,0,36,2,12,1500
11,0,29,2,9,1000
11,0,49,2,2,2000
11,0,35,8,9,1300
11,0,21,8,12,1200
11,1,30,8,5,1400
11,0,52,8,5,1000
11,0,37,2,5,1500
11,1,57,8,10,1000
11,0,31,8,15,2500
11,0,58,8,5,200
11,0,34,8,7,1270
11,0,49,8,4,788
11,1,31,2,13,1200
11,1,38,8,9,1500
11,0,27,8,11,45000
11,0,38,8,12,1200
11,0,48,8,9,1100
11,0,44,8,9,150
11,0,54,2,4,500
11,0,60,8,2,1500
11,0,20,2,7,1200
11,0,39,2,5,1500
11,0,51,4,9,2600
11,0,42,8,12,3500
11,0,29,2,16,2400
11,0,58,8,1,100
11,0,35,8,7,750
11,0,34,2,5,900
11,0,65,2,1,5000
11,0,58,8,1,1500
11,0,46,8,11,1000
11,0,48,2,9,5000
11,0,57,2,5,1400
11,0,33,8,1,900
11,0,43,8,4,1500
11,0,43,2,12,1200
11,0,52,8,1,788
11,0,25,8,6,788
11,0,50,2,5,2000
11,0,54,8,9,2000
11,0,50,8,12,2000
11,0,46,2,1,1200
11,1,41,2,9,2000
11,1,44,8,9,788
11,0,46,8,5,1290
11,0,34,8,9,1500
11,0,38,8,16,1200
11,0,39,8,12,2500
11,0,51,8,5,1800
11,1,56,8,5,1000
11,0,55,4,11,2500
11,0,25,8,12,1700
11,1,45,2,16,2790
11,0,50,2,12,4500
11,1,45,8,9,300
11,0,33,8,10,5000
11,1,44,2,9,800
11,1,31,8,12,900
11,0,28,8,6,788
11,1,44,8,12,788
11,0,43,8,14,2500
11,1,63,8,1,788
11,0,43,8,5,788
11,1,32,4,16,3000
11,0,41,8,12,3800
11,0,38,8,3,1250
11,0,51,2,2,7000
11,0,51,2,5,788
11,0,53,8,13,600
11,0,70,2,9,1800
11,0,35,8,9,1400
11,0,24,8,6,800
11,0,24,8,3,788
11,0,31,8,5,1300
11,0,37,8,5,788
11,0,29,8,11,788
11,0,37,8,14,9166
11,0,60,8,5,800
11,0,41,8,9,1800
11,0,53,8,5,2000
11,0,28,4,16,1200
11,1,46,4,6,830
11,0,53,4,4,1500
11,0,51,8,7,1500
11,0,36,4,12,1500
11,1,40,8,12,1200
11,0,45,2,9,2000
11,0,31,8,12,2930
11,0,53,2,12,4000
11,1,36,8,12,788
11,1,36,2,12,2000
11,1,25,8,16,3000
11,0,57,2,7,1024
11,0,45,8,5,1180
11,1,25,8,10,1024
11,1,56,8,9,1500
11,0,51,8,5,1500
11,0,52,2,6,2000
11,1,36,8,12,4000
11,0,47,4,5,1200
11,0,41,2,4,1200
11,0,36,8,10,876
11,0,65,2,1,1200
11,1,28,8,7,788
11,1,35,8,6,1050
11,0,44,4,1,1300
11,1,28,4,16,1300
11,0,55,2,5,1300
11,0,30,2,11,1100
11,0,52,8,5,2000
11,1,35,8,12,924
11,1,33,2,14,1300
11,1,53,8,5,950
11,0,45,8,2,1300
11,0,28,8,16,1100
11,0,52,4,1,1500
11,0,57,8,7,500
11,0,64,8,12,3500
11,0,18,2,6,850
11,1,29,8,10,150
11,0,30,4,12,2300
11,0,53,2,2,950
11,1,40,2,5,0
11,0,66,2,3,0
11,0,79,2,1,0
11,0,61,8,4,0
11,0,30,2,6,1000
11,1,57,2,5,0
11,0,59,2,9,2200
11,0,57,2,9,788
11,1,54,2,5,0
11,0,40,8,4,2000
11,1,35,8,16,2800
11,1,53,8,9,800
11,1,27,8,12,1500
11,1,39,8,5,900
11,1,43,8,5,500
11,0,49,2,9,2100
11,1,48,8,5,600
11,1,41,8,8,1100
11,0,45,8,5,2000
11,0,18,8,6,1300
11,1,44,8,9,788
11,0,45,8,4,1800
11,0,76,8,1,700
11,0,48,8,5,1800
11,0,45,4,11,1100
11,0,36,8,3,960
11,1,43,8,12,1200
11,0,52,8,9,1200
11,0,57,8,7,4000
11,1,36,8,12,1500
11,1,33,8,12,2800
11,1,49,8,9,2000
11,0,35,8,9,788
11,0,39,8,6,500
11,0,64,2,1,1200
11,0,17,8,8,1500
11,1,38,8,12,788
11,0,24,8,10,150
11,0,38,8,8,1500
11,0,79,8,2,788
11,0,27,4,7,850
11,0,53,0,16,5000
11,1,41,8,15,1800
11,1,52,2,8,1000
11,0,37,4,1,500
11,0,49,8,1,788
11,0,32,8,16,2000
11,0,38,8,16,7000
11,1,38,8,12,1700
11,1,36,8,12,800
11,1,48,8,12,1600
11,0,45,2,16,2300
11,0,41,8,12,2100
11,0,29,2,14,1600
11,0,27,4,12,1500
11,0,26,2,10,2000
11,1,62,8,16,5000
11,1,38,2,12,3500
11,0,30,8,12,788
11,0,32,8,12,788
11,1,58,4,16,7900
11,0,55,8,12,3500
11,0,49,2,16,7000
11,0,51,4,16,22000
11,1,49,8,9,1000
11,0,38,2,12,3500
11,0,61,8,9,3000
11,1,52,8,9,1200
11,0,36,8,16,2000
11,0,60,8,9,1200
11,0,50,4,12,1000
11,0,19,2,12,1038
11,1,39,8,12,1500
11,1,28,2,12,960
11,0,46,4,12,2000
11,1,26,2,12,1800
11,0,28,8,9,4000
11,1,67,8,1,350
11,0,53,8,9,800
11,1,60,2,9,1200
11,0,44,2,12,2000
11,0,33,4,10,2200
11,1,47,4,16,1800
11,0,41,8,12,3500
11,0,39,4,10,2500
11,0,61,2,5,1000
11,1,36,4,8,1000
11,0,62,2,7,2000
11,0,55,4,12,2300
11,0,20,2,12,1200
11,0,56,8,9,400
11,0,63,2,5,2000
11,1,39,4,13,1200
11,1,38,8,16,3000
11,0,55,8,16,1700
11,0,27,8,12,954
11,0,48,8,12,5000
11,0,27,8,1,1500
11,0,46,2,6,1700
11,0,35,8,16,6700
11,1,40,8,12,800
11,0,32,8,16,2300
11,1,37,8,12,1000
11,0,24,2,12,3800
11,0,41,8,10,788
11,1,60,2,1,2500
11,0,33,2,9,1045
11,0,59,8,1,2000
11,1,22,2,16,1600
11,0,46,2,16,8000
11,0,20,8,16,900
11,0,59,2,5,2000
11,0,33,2,12,2500
11,0,65,8,8,1800
11,0,27,8,12,3800
11,0,43,2,12,2500
11,0,65,2,7,4500
11,1,46,8,16,3500
11,0,50,4,3,1100
11,1,47,4,9,1000
11,0,40,8,5,700
11,1,43,8,7,1100
11,0,44,4,12,1600
11,1,45,2,7,788
11,0,28,8,12,1600
11,0,22,8,15,3500
11,1,47,4,16,6000
11,1,53,8,15,3500
11,1,49,2,12,2000
11,0,67,8,9,2000
11,0,40,2,8,1300
11,0,59,2,13,1500
11,1,55,2,12,1000
11,0,58,2,6,1000
11,1,56,2,16,5000
11,0,50,8,16,9000
11,1,63,8,16,1600
11,1,45,8,16,6000
11,0,48,2,16,3000
11,1,51,8,12,2000
11,0,54,4,4,2600
11,1,43,8,12,1200
11,1,39,8,16,1800
11,0,46,2,5,1000
11,1,29,8,12,788
11,0,61,2,5,2000
11,0,26,2,12,4000
11,0,30,2,12,4500
11,0,37,8,12,3000
11,0,26,4,12,1400
11,0,35,8,12,1500
11,0,41,8,12,1800
11,0,26,8,13,1000
11,1,35,4,13,1720
11,0,27,8,11,1500
11,1,35,8,12,1570
11,0,30,8,12,2000
11,0,26,2,12,1200
11,0,57,8,16,7000
11,1,51,8,16,4500
11,0,24,8,14,3000
11,0,30,8,16,6000
11,1,28,8,9,900
11,0,37,8,9,1200
11,0,35,8,12,3600
11,1,25,8,12,2000
11,1,43,4,12,1000
11,0,35,4,16,10000
11,0,35,8,5,1222
11,0,50,8,8,1150
11,0,58,8,9,2000
11,1,49,8,3,500
11,0,36,8,10,900
11,0,34,8,12,1500
11,0,48,8,12,1200
11,1,37,8,12,840
11,1,51,8,16,1900
11,1,43,2,12,788
11,1,54,4,2,844
11,0,62,8,9,1600
11,0,34,8,1,1200
11,0,34,8,16,3000
11,1,29,2,12,350
11,0,63,4,1,600
11,1,45,8,9,1000
11,0,42,8,12,1007
11,1,25,2,12,800
11,1,34,8,16,2000
11,0,65,2,8,1800
11,1,28,8,16,2600
11,1,61,8,7,200
11,1,28,8,12,600
11,0,48,8,16,3000
11,1,35,8,9,400
11,0,42,4,16,1400
11,1,43,2,16,4000
11,0,54,2,4,5000
11,0,46,8,15,3000
11,1,53,4,12,2500
11,0,50,8,16,900
11,0,24,2,12,1500
11,1,27,4,16,700
11,0,46,4,16,3000
11,1,28,2,13,1400
11,0,38,2,12,2000
11,0,49,4,12,2800
11,0,62,4,1,1550
11,1,18,8,12,1000
11,0,40,2,6,2000
11,1,29,4,15,1500
11,0,55,2,6,1000
11,1,29,4,8,950
11,0,44,8,12,2200
11,0,41,8,12,1300
11,0,30,8,7,3300
11,0,21,2,11,900
11,0,41,8,5,1600
11,1,60,8,1,780
11,0,51,8,3,1800
11,1,48,8,9,1200
11,0,23,8,12,1300
11,1,40,8,9,1500
11,1,47,8,9,788
11,0,21,8,12,1200
11,1,31,8,16,2800
11,0,49,4,12,5000
11,0,30,2,11,1500
11,1,49,8,4,800
11,0,58,8,8,2000
11,1,49,8,12,2200
11,0,64,8,7,2500
11,0,43,8,12,4000
11,1,51,2,16,3200
11,0,34,8,12,3000
11,1,32,4,16,2500
11,0,70,8,8,1100
11,1,31,8,10,1200
11,1,40,8,16,2400
11,0,49,2,12,3000
11,0,52,8,7,2500
11,0,56,8,12,3000
11,0,25,8,12,1500
11,1,21,8,13,1150
11,1,36,8,13,1050
11,0,22,8,9,1400
11,1,25,8,9,820
11,0,32,8,11,1200
11,0,28,2,12,1600
11,0,35,4,11,1680
11,0,26,8,12,1800
11,0,25,8,12,1300
11,1,46,8,12,1500
11,0,43,8,13,1800
11,0,53,8,6,1800
11,0,23,4,16,1050
11,1,54,8,12,1400
11,0,22,8,6,1200
11,0,30,8,12,2365
11,0,51,8,6,2200
11,1,49,8,16,4500
11,0,45,2,16,1400
11,0,31,8,6,1500
11,0,27,8,6,1500
11,1,30,8,12,3000
11,1,35,8,8,788
11,0,42,4,6,2500
11,0,56,4,16,2800
11,0,30,8,12,2000
11,0,37,8,5,1500
11,1,50,8,9,1000
11,1,48,8,15,1000
11,1,36,8,9,1300
11,0,33,8,12,788
11,1,24,4,16,2500
11,0,55,8,12,3000
11,0,38,8,2,1700
11,1,59,2,12,3200
11,0,37,8,12,1800
11,1,45,2,12,800
11,0,40,8,16,5500
11,0,43,2,12,3500
11,1,22,8,10,788
11,1,49,8,9,900
11,1,40,0,4,900
11,1,44,8,5,700
11,0,54,8,9,780
11,1,53,8,9,788
11,1,42,8,5,850
11,1,43,2,11,1500
11,1,59,8,6,300
11,0,36,8,12,3000
11,0,40,0,12,2500
11,1,39,8,12,1200
11,1,41,2,15,3500
11,1,34,2,16,3500
11,0,40,8,12,2000
11,1,37,8,8,800
11,0,43,8,10,1150
11,0,36,2,12,1900
11,0,46,8,12,1400
11,0,32,8,10,1300
11,0,26,2,14,960
11,0,35,8,12,900
11,0,35,8,12,2400
11,0,36,4,7,2000
11,1,32,2,16,2100
11,1,43,2,15,1900
11,0,22,8,10,1200
11,0,35,8,12,1900
11,0,28,8,11,1600
11,1,29,2,16,12500
11,0,36,8,16,5000
11,0,54,8,9,5000
11,1,53,8,16,6800
11,1,53,2,16,4000
11,1,27,8,16,2200
11,0,66,2,16,5000
11,1,33,2,16,10000
11,0,29,8,12,3000
11,1,38,2,12,1000
11,0,51,8,12,3000
11,0,31,2,12,1400
11,1,18,8,8,1000
11,1,43,8,9,3000
11,0,41,8,8,1200
11,0,45,2,4,2500
11,0,25,8,12,1300
11,1,40,2,11,827
11,0,51,8,5,1200
11,0,30,8,12,2100
11,0,77,8,1,0
11,1,27,8,6,35
11,0,20,8,9,1300
11,0,58,8,1,700
11,0,33,8,6,800
11,1,38,2,12,1500
11,1,39,8,5,300
11,1,50,8,1,200
11,0,22,2,10,2000
11,0,30,8,12,788
11,0,59,8,9,2000
11,0,75,2,1,300
11,0,51,8,12,3800
11,0,36,4,12,2000
11,0,35,2,14,5000
11,0,46,4,12,3800
11,1,60,8,6,1000
11,0,29,8,12,5000
11,1,24,8,12,1600
11,1,56,8,6,1500
11,0,62,8,3,900
11,0,47,8,12,3000
11,1,45,4,11,1800
11,0,45,8,6,500
11,0,57,8,4,1500
11,0,38,8,15,5000
11,0,41,2,12,3000
11,0,40,8,16,1200
11,0,39,8,16,1200
11,0,35,8,5,1200
11,0,42,8,1,3500
11,1,46,8,10,1200
11,0,55,4,4,1000
11,0,30,8,15,3500
11,0,29,4,16,6000
11,1,52,8,16,3500
11,0,58,2,12,10000
11,0,26,8,8,1400
11,0,50,8,2,1600
11,0,56,8,12,1400
11,0,53,4,5,788
11,0,59,8,9,5000
11,0,33,2,16,50000
11,1,44,4,12,872
11,0,59,4,5,3000
11,1,46,4,16,1000
11,1,56,8,6,1000
11,1,24,8,14,1500
11,0,44,8,5,920
11,0,42,8,5,788
11,0,28,8,15,2000
11,1,59,8,6,1100
11,1,48,2,16,1900
11,1,36,8,13,600
11,0,35,4,9,788
11,0,45,8,5,1000
11,0,46,2,12,3000
11,0,34,2,11,2600
11,1,33,8,12,1200
11,0,42,8,8,1200
11,1,39,8,16,9000
11,0,33,8,1,1200
11,0,55,2,7,2000
11,0,57,8,12,1000
11,0,54,8,1,1500
11,0,33,4,8,1000
11,0,65,8,4,600
11,0,47,2,11,1000
11,0,43,8,7,788
11,0,70,2,1,1000
11,0,51,8,5,788
11,0,49,2,4,1100
11,0,66,8,1,500
11,0,23,8,9,788
11,0,49,8,16,400
11,0,41,4,5,2200
11,0,57,2,9,3000
11,0,45,8,1,350
11,0,38,8,6,1200
11,0,34,8,5,300
11,1,50,2,16,3600
11,0,43,8,5,700
11,1,36,2,12,3200
11,0,35,2,16,1900
11,1,34,2,12,850
11,0,39,2,1,800
11,0,31,4,9,1100
11,1,41,8,6,788
11,1,52,2,5,250
11,0,37,8,12,1500
11,1,26,8,12,830
11,0,63,2,5,3100
11,0,53,8,12,2000
11,0,42,8,5,500
11,0,30,2,16,4000
11,0,24,2,12,912
11,1,34,4,16,9000
11,0,30,2,10,1500
11,0,33,8,16,3000
11,0,42,2,5,500
11,0,35,2,10,3000
11,0,37,8,2,550
11,0,28,8,6,1380
11,0,34,8,9,1200
11,1,53,4,10,400
11,0,48,4,12,10000
11,1,43,8,12,3500
11,1,50,2,9,850
11,0,45,8,6,2000
11,0,30,2,3,700
11,0,27,8,16,2800
11,0,42,2,9,1200
11,1,42,8,15,788
11,0,74,2,1,400
11,0,29,8,12,3000
11,0,37,4,16,1500
11,1,40,8,4,400
11,0,52,2,9,1200
11,0,36,4,5,3000
11,1,59,8,16,2000
11,0,33,2,12,900
11,1,28,8,14,1000
11,0,54,8,13,833
11,0,26,8,12,1500
11,0,36,2,5,2000
11,0,43,2,6,1000
11,0,45,4,5,2000
11,0,33,8,9,6000
11,0,44,2,9,1500
11,1,57,2,9,1700
11,0,49,8,2,1950
11,0,62,2,3,700
11,1,50,2,2,0
11,0,46,2,5,1500
11,0,26,2,14,1000
11,0,44,8,12,4000
11,0,56,2,16,7400
11,0,36,8,16,2000
11,1,18,2,9,1300
11,0,47,8,2,2500
11,0,56,8,1,2000
11,0,65,8,12,2160
11,1,52,2,15,5000
11,0,34,2,16,3000
11,0,23,2,16,2000
11,0,55,2,16,900
11,1,36,2,12,800
11,1,49,8,12,1000
11,1,38,8,12,1100
11,0,55,8,7,1576
